gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EC	EP	FB	PR	UN
TENM3	Q9P273	False	TEN3_HUMAN		CPI-SS075F456AF	TENM3	0.041	0.007	0.033	0.211	0.0	0.013
GRP	P07492	False	GRP_HUMAN		CPI-SS07AF9303D	GRP	0.006	0.0	0.0	0.002	0.152	0.005
PENK	P01210	False	PENK_HUMAN		CPI-SS09F7A6011	PENK	0.008	0.0	0.002	0.839	0.0	0.013
MDK	P21741	False	MK_HUMAN		CPI-SS027E12A36	MDK	1.048	0.22	1.395	2.054	1.146	0.472
PTN	P21246	False	PTN_HUMAN		CPI-SS04E690D72	PTN	0.502	0.0	0.026	1.313	0.0	0.234
CNTN1	Q12860	False	CNTN1_HUMAN		CPI-SS0730D1EF3	CNTN1	0.022	0.0	0.0	0.004	0.0	0.016
DLK1	P80370	False	DLK1_HUMAN		CPI-SS007AA9FDE	DLK1	0.031	0.481	2.078	1.587	0.297	0.165
JAG1	P78504	False	JAG1_HUMAN		CPI-SS0B99F22A2	JAG1	0.162	0.36	0.065	0.33	0.0	0.13
PGF	P49763	False	PLGF_HUMAN		CPI-SS07361522F	PGF	0.018	0.252	0.019	0.092	0.248	0.02
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0B9B3870A	VEGFA	0.795	0.408	1.336	1.178	0.299	0.834
PGF	P49763	False	PLGF_HUMAN		CPI-SC0B51DC960	PGF	0.018	0.252	0.019	0.092	0.248	0.02
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SC0AFC650CD	VEGFA	0.795	0.408	1.336	1.178	0.299	0.834
PGF	P49763	False	PLGF_HUMAN		CPI-SS065D9259F	PGF	0.018	0.252	0.019	0.092	0.248	0.02
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS046F8AD8B	VEGFA	0.795	0.408	1.336	1.178	0.299	0.834
PDGFA	P04085	False	PDGFA_HUMAN		CPI-SS0B70EB09E	PDGFA	0.052	0.765	0.025	0.216	0.885	0.042
NPY	P01303	False	NPY_HUMAN		CPI-SS0666DE74B	NPY	0.001	0.0	0.0	0.062	0.0	0.003
NPY	P01303	False	NPY_HUMAN		CPI-SS0E2083FAC	NPY	0.001	0.0	0.0	0.062	0.0	0.003
GNRH2	O43555	False	GON2_HUMAN		CPI-SS0D9BC4188	GNRH2	0.0	0.0	0.011	0.0	0.0	0.0
RSPO2	Q6UXX9	False	RSPO2_HUMAN		CPI-SS056D0AD0D	RSPO2	0.0	0.0	0.0	0.0	0.0	0.0
RSPO3	Q9BXY4	False	RSPO3_HUMAN		CPI-SS0C3906934	RSPO3	1.171	0.018	0.094	0.264	0.0	0.467
VIP	P01282	False	VIP_HUMAN		CPI-SS02CAD3BF8	VIP	0.0	0.015	0.0	0.0	0.0	0.0
SEMA3E	O15041	False	SEM3E_HUMAN		CPI-SS0F3A089DE	SEMA3E	0.012	0.0	0.017	0.015	0.0	0.013
SST	P61278	False	SMS_HUMAN		CPI-SS0FE594C97	SST	0.0	0.0	0.0	0.0	0.0	0.0
SDC2	P34741	False	SDC2_HUMAN		CPI-SS0D681D90E	SDC2	0.23	0.018	1.15	0.616	0.152	0.072
TAC1	P20366	False	TKN1_HUMAN		CPI-SS02A8BD654	TAC1	0.006	0.0	0.003	0.506	0.248	0.022
TNFSF10	P50591	False	TNF10_HUMAN		CPI-SS05A3055C3	TNFSF10	0.001	0.055	0.188	0.026	0.0	0.0
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0C03F7CDC	VEGFA	0.795	0.408	1.336	1.178	0.299	0.834
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SS0786D3749	WNT2B	0.012	0.056	0.012	0.025	0.0	0.026
WNT4	P56705	False	WNT4_HUMAN		CPI-SS0EE63435D	WNT4	0.0	0.0	0.0	0.0	0.0	0.005
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS007954822	WNT5A	0.023	0.0	0.035	0.149	0.16	0.014
WNT9A	O14904	False	WNT9A_HUMAN		CPI-SS0EBBBD522	WNT9A	0.001	0.0	0.0	0.001	0.0	0.005
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SS05207EFF8	WNT2B	0.012	0.056	0.012	0.025	0.0	0.026
WNT4	P56705	False	WNT4_HUMAN		CPI-SS036707F4C	WNT4	0.0	0.0	0.0	0.0	0.0	0.005
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS0F1E79A03	WNT5A	0.023	0.0	0.035	0.149	0.16	0.014
WNT9A	O14904	False	WNT9A_HUMAN		CPI-SS0A93EEAEB	WNT9A	0.001	0.0	0.0	0.001	0.0	0.005
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SS08643DD8A	WNT2B	0.012	0.056	0.012	0.025	0.0	0.026
WNT4	P56705	False	WNT4_HUMAN		CPI-SS0661CE946	WNT4	0.0	0.0	0.0	0.0	0.0	0.005
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS03F33B34C	WNT5A	0.023	0.0	0.035	0.149	0.16	0.014
WNT9A	O14904	False	WNT9A_HUMAN		CPI-SS00877D499	WNT9A	0.001	0.0	0.0	0.001	0.0	0.005
GDNF	P39905	False	GDNF_HUMAN		CPI-SC0BDF87EA3	GDNF	0.001	0.0	0.003	0.001	0.0	0.0
ESAM	Q96AP7	False	ESAM_HUMAN		CPI-SS04C672963	ESAM	0.003	1.794	0.0	0.066	0.397	0.014
FLT1	P17948	True	VGFR1_HUMAN	FLT1_complex	CPI-SC0B51DC960	FLT1	0.057	1.614	0.045	0.138	0.239	0.059
FLT1	P17948	True	VGFR1_HUMAN	FLT1_complex	CPI-SC0AFC650CD	FLT1	0.057	1.614	0.045	0.138	0.239	0.059
KDR	P35968	True	VGFR2_HUMAN	FLT1_complex	CPI-SC0B51DC960	KDR	0.057	1.614	0.045	0.138	0.239	0.059
KDR	P35968	True	VGFR2_HUMAN	FLT1_complex	CPI-SC0AFC650CD	KDR	0.057	1.614	0.045	0.138	0.239	0.059
ITGB7	P26010	True	ITB7_HUMAN	integrin_a4b7_complex	CPI-SC034EE8AAA	ITGB7	0.0	0.0	0.0	0.0	0.0	0.004
ITGB7	P26010	True	ITB7_HUMAN	integrin_a4b7_complex	CPI-SC06C0A2080	ITGB7	0.0	0.0	0.0	0.0	0.0	0.004
ITGA4	P13612	True	ITA4_HUMAN	integrin_a4b7_complex	CPI-SC034EE8AAA	ITGA4	0.0	0.0	0.0	0.0	0.0	0.004
ITGA4	P13612	True	ITA4_HUMAN	integrin_a4b7_complex	CPI-SC06C0A2080	ITGA4	0.0	0.0	0.0	0.0	0.0	0.004
RET	P07949	True	RET_HUMAN	RET_receptor_1	CPI-SC0BDF87EA3	RET	0.001	0.011	0.0	0.001	0.0	0.0
GFRA1	P56159	True	GFRA1_HUMAN	RET_receptor_1	CPI-SC0BDF87EA3	GFRA1	0.001	0.011	0.0	0.001	0.0	0.0
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS01A7DC3C1	NRXN3	0.006	0.0	0.003	0.008	0.0	0.002
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS0EEFFA23C	NRXN3	0.006	0.0	0.003	0.008	0.0	0.002
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS026EC3854	NRXN3	0.006	0.0	0.003	0.008	0.0	0.002
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS0F97A06CD	NRXN3	0.006	0.0	0.003	0.008	0.0	0.002
F2R	P25116	False	PAR1_HUMAN		CPI-SS058209EC7	F2R	0.046	0.629	0.046	0.6	0.399	0.006
CD36	P16671	False	CD36_HUMAN		CPI-SS0C93E48D7	CD36	0.011	0.0	0.004	0.003	0.16	0.0
AGTR1	P30556	False	AGTR1_HUMAN		CPI-SS05996C8FD	AGTR1	0.001	0.014	0.371	0.016	0.0	0.0
NTRK2	Q16620	False	NTRK2_HUMAN		CPI-SS0BA601DC4	NTRK2	0.004	0.0	0.0	0.193	0.0	0.005
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS09A6C048C	NRXN1	0.441	0.151	0.038	0.073	0.0	0.187
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS043D3630C	NRXN1	0.441	0.151	0.038	0.073	0.0	0.187
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS0626DF0EB	NRXN1	0.441	0.151	0.038	0.073	0.0	0.187
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS03466C597	NRXN1	0.441	0.151	0.038	0.073	0.0	0.187
ACKR4	Q9NPB9	False	ACKR4_HUMAN		CPI-SS0ECD9BB5E	ACKR4	0.002	0.0	0.009	0.006	0.0	0.018
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS08102DC9E	CXCR2	0.001	0.0	0.0	0.009	0.0	0.0
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS09185EA8F	CXCR2	0.001	0.0	0.0	0.009	0.0	0.0
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS093B46106	CXCR2	0.001	0.0	0.0	0.009	0.0	0.0
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS0315F51DD	CXCR2	0.001	0.0	0.0	0.009	0.0	0.0
CXCR4	P61073	False	CXCR4_HUMAN		CPI-SS0A28DCA72	CXCR4	0.005	0.554	0.009	0.201	0.0	0.0
CXCR4	P61073	False	CXCR4_HUMAN		CPI-SS0669CC233	CXCR4	0.005	0.554	0.009	0.201	0.0	0.0
ADGRB3	O60242	False	AGRB3_HUMAN		CPI-SS0F62347D4	ADGRB3	0.005	0.032	0.0	0.026	0.0	0.005
PPARG	P37231	False	PPARG_HUMAN		CPI-CS0917E42F5	PPARG	0.002	0.272	0.574	0.08	0.16	0.004
EDNRA	P25101	False	EDNRA_HUMAN		CPI-SS0D8632EB4	EDNRA	0.116	0.0	0.022	0.112	0.4	0.045
EDNRA	P25101	False	EDNRA_HUMAN		CPI-SS056AA08CF	EDNRA	0.116	0.0	0.022	0.112	0.4	0.045
EDNRA	P25101	False	EDNRA_HUMAN		CPI-SS03D5CBF55	EDNRA	0.116	0.0	0.022	0.112	0.4	0.045
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS0FC01B947	EPHA4	0.333	0.0	0.009	0.02	0.0	0.15
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS087E0E3FB	EPHA4	0.333	0.0	0.009	0.02	0.0	0.15
EPHA5	P54756	False	EPHA5_HUMAN		CPI-SS09E3F5044	EPHA5	0.001	0.0	0.0	0.007	0.0	0.002
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS05ABE6795	EPHB6	0.009	0.013	0.026	0.072	0.0	0.026
EGFR	P00533	False	EGFR_HUMAN		CPI-SS052119104	EGFR	0.004	0.0	0.362	0.249	0.391	0.016
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS01F67987A	FGFR1	0.23	0.549	0.054	0.492	0.312	0.159
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS01333FFA6	FGFR1	0.23	0.549	0.054	0.492	0.312	0.159
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS08BFFB96E	ADGRL2	0.064	0.634	0.06	0.373	0.16	0.063
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS083BB1EB3	ADGRL2	0.064	0.634	0.06	0.373	0.16	0.063
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS075F456AF	ADGRL2	0.064	0.634	0.06	0.373	0.16	0.063
GRPR	P30550	False	GRPR_HUMAN		CPI-SS07AF9303D	GRPR	0.001	0.0	0.0	0.0	0.0	0.0
GHSR	Q92847	False	GHSR_HUMAN		CPI-SS09F7A6011	GHSR	0.0	0.0	0.0	0.0	0.0	0.0
PTPRZ1	P23471	False	PTPRZ_HUMAN		CPI-SS027E12A36	PTPRZ1	0.001	0.0	0.0	0.002	0.0	0.0
PTPRZ1	P23471	False	PTPRZ_HUMAN		CPI-SS04E690D72	PTPRZ1	0.001	0.0	0.0	0.002	0.0	0.0
MCAM	P43121	False	MUC18_HUMAN		CPI-SS0730D1EF3	MCAM	0.19	0.799	0.005	0.095	0.958	0.086
NOTCH3	Q9UM47	False	NOTC3_HUMAN		CPI-SS007AA9FDE	NOTCH3	0.047	0.033	0.014	0.171	0.297	0.022
NOTCH3	Q9UM47	False	NOTC3_HUMAN		CPI-SS0B99F22A2	NOTCH3	0.047	0.033	0.014	0.171	0.297	0.022
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS07361522F	FLT1	0.057	3.245	0.045	0.521	0.503	0.059
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0B9B3870A	FLT1	0.057	3.245	0.045	0.521	0.503	0.059
NRP2	O60462	False	NRP2_HUMAN		CPI-SS065D9259F	NRP2	0.204	1.881	0.082	0.195	0.0	0.102
NRP2	O60462	False	NRP2_HUMAN		CPI-SS046F8AD8B	NRP2	0.204	1.881	0.082	0.195	0.0	0.102
PDGFRA	P16234	False	PGFRA_HUMAN		CPI-SS0B70EB09E	PDGFRA	0.031	0.022	0.006	0.524	0.0	0.025
NPY1R	P25929	False	NPY1R_HUMAN		CPI-SS0666DE74B	NPY1R	0.058	0.0	0.0	0.005	0.0	0.023
NPY2R	P49146	False	NPY2R_HUMAN		CPI-SS0E2083FAC	NPY2R	0.0	0.0	0.0	0.011	0.0	0.0
GNRHR	P30968	False	GNRHR_HUMAN		CPI-SS0D9BC4188	GNRHR	0.0	0.0	0.0	0.0	0.0	0.005
PTGER4	P35408	False	PE2R4_HUMAN		CPI-CS023F349AF	PTGER4	0.0	0.0	0.002	0.008	0.0	0.003
LGR5	O75473	False	LGR5_HUMAN		CPI-SS056D0AD0D	LGR5	0.0	0.0	0.015	0.005	0.0	0.0
LGR5	O75473	False	LGR5_HUMAN		CPI-SS0C3906934	LGR5	0.0	0.0	0.015	0.005	0.0	0.0
RORB	Q92753	False	RORB_HUMAN		CPI-CS08EE9E5CE	RORB	0.001	0.0	0.0	0.064	0.0	0.005
RORB	Q92753	False	RORB_HUMAN		CPI-CS033058D2B	RORB	0.001	0.0	0.0	0.064	0.0	0.005
RORB	Q92753	False	RORB_HUMAN		CPI-CS0C61C245A	RORB	0.001	0.0	0.0	0.064	0.0	0.005
SCTR	P47872	False	SCTR_HUMAN		CPI-SS02CAD3BF8	SCTR	0.0	0.0	0.0	0.0	0.0	0.005
PLXND1	Q9Y4D7	False	PLXD1_HUMAN		CPI-SS0F3A089DE	PLXND1	0.087	1.103	0.027	0.181	0.89	0.049
SSTR2	P30874	False	SSR2_HUMAN		CPI-SS0FE594C97	SSTR2	0.003	0.0	0.2	0.01	0.361	0.0
ADGRA2	Q96PE1	False	AGRA2_HUMAN		CPI-SS0D681D90E	ADGRA2	0.049	0.182	0.0	0.386	0.397	0.041
TACR1	P25103	False	NK1R_HUMAN		CPI-SS02A8BD654	TACR1	0.001	0.0	0.0	0.012	0.0	0.003
TNFRSF11B	O00300	False	TR11B_HUMAN		CPI-SS05A3055C3	TNFRSF11B	0.005	0.029	0.026	0.042	0.0	0.0
KDR	P35968	False	VGFR2_HUMAN		CPI-SS0C03F7CDC	KDR	0.414	1.614	0.048	0.138	0.239	0.194
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS0786D3749	FRZB	0.24	0.009	0.014	0.063	0.0	0.133
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS0EE63435D	FRZB	0.24	0.009	0.014	0.063	0.0	0.133
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS007954822	FRZB	0.24	0.009	0.014	0.063	0.0	0.133
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS0EBBBD522	FRZB	0.24	0.009	0.014	0.063	0.0	0.133
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS05207EFF8	SFRP1	1.512	0.658	0.165	1.28	0.507	0.551
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS036707F4C	SFRP1	1.512	0.658	0.165	1.28	0.507	0.551
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS0F1E79A03	SFRP1	1.512	0.658	0.165	1.28	0.507	0.551
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS0A93EEAEB	SFRP1	1.512	0.658	0.165	1.28	0.507	0.551
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS08643DD8A	SFRP2	0.001	0.0	0.0	0.0	0.0	0.005
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS0661CE946	SFRP2	0.001	0.0	0.0	0.0	0.0	0.005
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS03F33B34C	SFRP2	0.001	0.0	0.0	0.0	0.0	0.005
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS00877D499	SFRP2	0.001	0.0	0.0	0.0	0.0	0.005
